ip,source,source_url,last_seen,asn,organization,country
1.34.143.217,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,3462,HiNet (Chunghwa Telecom),TW
1.34.2.110,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,3462,HiNet (Chunghwa Telecom),TW
1.54.62.170,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,18403,FPT Telecom Company,VN
1.83.125.141,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,4134,China Telecom Backbone,CN
1.83.125.200,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,4134,China Telecom Backbone,CN
1.83.125.36,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,4134,China Telecom Backbone,CN
1.83.125.53,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,4134,China Telecom Backbone,CN
1.83.125.63,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,4134,China Telecom Backbone,CN
2.12.43.124,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,3215,Orange S.A.,FR
2.124.93.235,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,5607,Sky UK,GB
2.155.164.36,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,12430,VODAFONE ESPANA S.A.U.,ES
2.155.204.98,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,12430,VODAFONE ESPANA S.A.U.,ES
2.155.50.211,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,12430,VODAFONE ESPANA S.A.U.,ES
2.26.112.88,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,213877,U1 DIGITAL SERVICES LTD,GB
2.26.192.31,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,206134,NEKOBYTE INTERNATIONAL LIMITED,GB
2.26.52.55,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,215439,PLAY2GO INTERNATIONAL LIMITED,GB
2.26.64.218,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,210546,CHSL ONE LTD,GB
2.27.153.106,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,219543,German Kiselev,RU
2.27.248.149,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,207043,DEDIK SERVICES LIMITED,GB
2.27.248.209,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,207043,DEDIK SERVICES LIMITED,GB
2.3.66.8,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,3215,Orange S.A.,FR
2.38.64.231,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,30722,Fastweb SpA,IT
2.39.142.202,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,30722,Fastweb SpA,IT
2.40.99.114,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,30722,Fastweb SpA,IT
2.57.121.120,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,47890,UNMANAGED LTD,GB
3.108.167.233,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,16509,"Amazon.com, Inc.",US
3.131.24.55,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,16509,"Amazon.com, Inc.",US
3.137.141.123,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,16509,"Amazon.com, Inc.",US
3.147.122.184,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,16509,"Amazon.com, Inc.",US
3.15.169.123,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,16509,"Amazon.com, Inc.",US
3.208.27.95,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.80.146.66,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.80.225.254,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.82.139.248,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.82.209.93,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.83.16.103,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.83.162.99,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.83.233.56,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.83.245.221,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.85.190.121,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.85.201.48,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.85.30.112,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.85.57.190,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.86.101.5,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.86.104.237,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.86.114.186,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.86.210.219,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.86.230.159,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.86.239.220,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.86.250.116,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.87.186.57,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.87.196.69,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.87.52.46,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.88.155.51,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.88.203.46,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.89.113.104,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.89.209.40,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.89.231.206,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.90.104.12,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.91.151.163,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.91.159.225,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.91.175.250,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.91.61.197,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.93.163.167,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.93.76.26,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.93.81.46,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.94.102.45,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.94.186.181,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.95.176.169,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
3.95.56.199,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,14618,"Amazon.com, Inc.",US
4.148.0.158,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.0.194,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.0.210,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.105,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.107,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.109,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.110,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.111,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.112,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.113,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.136,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.137,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.138,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.139,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.140,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.141,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.142,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.168,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.169,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.170,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.171,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.172,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.24,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.37,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.50,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.66,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.16.76,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.12,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.147,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.162,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.163,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.168,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.169,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.174,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.175,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.18,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.19,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.20,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.21,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.28,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.29,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.49,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.65,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.70,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.77,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.93,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.17.94,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.80,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.83,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.85,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.88,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.89,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.90,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.91,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.92,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.93,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.1.95,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.2.4,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.0,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.172,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.173,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.174,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.175,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.180,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.181,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.183,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.188,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.189,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.194,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.195,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.200,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.201,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.202,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.203,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.204,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.209,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.210,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.240.211,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.2.5,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.2.6,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.2.7,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.8.240,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.9.100,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.9.22,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.9.28,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.9.63,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.9.66,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
4.148.9.74,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-09-07T04:28:34.450814+00:00,8075,Microsoft Corporation,US
